"idhod","hodnota","stapro_kod","vek_cis","vek_kod","vuzemi_cis","vuzemi_kod","rok","tyden","roktyden","casref_od","casref_do","vek_txt","priznak"
"1326982477","562","5393","7700","410075610085000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","75-84",
"1326205641","494","5393","7700","410085799999000","97","19","2011","29","2011-W29","2011-07-18","2011-07-24","85 a více",
"1326409102","1859","5393",,,"97","19","2011","29","2011-W29","2011-07-18","2011-07-24","celkem",
"1326971640","9","5393","7700","400000610015000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","0-14",
"1326500995","66","5393","7700","410015610045000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","15-44",
"1326227826","391","5393","7700","410045610065000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","45-64",
"1326735398","395","5393","7700","410065610075000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","65-74",
"1326420899","589","5393","7700","410075610085000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","75-84",
"1326205004","441","5393","7700","410085799999000","97","19","2011","30","2011-W30","2011-07-25","2011-07-31","85 a více",
"1326985945","1891","5393",,,"97","19","2011","30","2011-W30","2011-07-25","2011-07-31","celkem",
"1326727791","7","5393","7700","400000610015000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","0-14",
"1326645335","66","5393","7700","410015610045000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","15-44",
"1326753562","377","5393","7700","410045610065000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","45-64",
"1326979155","413","5393","7700","410065610075000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","65-74",
"1326228012","633","5393","7700","410075610085000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","75-84",
"1326487383","525","5393","7700","410085799999000","97","19","2011","31","2011-W31","2011-08-01","2011-08-07","85 a více",
"1326985946","2021","5393",,,"97","19","2011","31","2011-W31","2011-08-01","2011-08-07","celkem",
"1326727606","5","5393","7700","400000610015000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","0-14",
"1326187600","76","5393","7700","410015610045000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","15-44",
"1326477726","362","5393","7700","410045610065000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","45-64",
"1326978735","378","5393","7700","410065610075000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","65-74",
"1326485326","588","5393","7700","410075610085000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","75-84",
"1326741727","429","5393","7700","410085799999000","97","19","2011","32","2011-W32","2011-08-08","2011-08-14","85 a více",
"1326307252","1838","5393",,,"97","19","2011","32","2011-W32","2011-08-08","2011-08-14","celkem",
"1326848886","9","5393","7700","400000610015000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","0-14",
"1326644594","78","5393","7700","410015610045000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","15-44",
"1326664866","362","5393","7700","410045610065000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","45-64",
"1326193406","382","5393","7700","410065610075000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","65-74",
"1326651516","604","5393","7700","410075610085000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","75-84",
"1326863002","498","5393","7700","410085799999000","97","19","2011","33","2011-W33","2011-08-15","2011-08-21","85 a více",
"1326741722","1933","5393",,,"97","19","2011","33","2011-W33","2011-08-15","2011-08-21","celkem",
"1326970239","10","5393","7700","400000610015000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","0-14",
"1326187596","81","5393","7700","410015610045000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","15-44",
"1326646305","396","5393","7700","410045610065000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","45-64",
"1326735090","424","5393","7700","410065610075000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","65-74",
"1326421019","623","5393","7700","410075610085000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","75-84",
"1326487222","544","5393","7700","410085799999000","97","19","2011","34","2011-W34","2011-08-22","2011-08-28","85 a více",
"1326653465","2078","5393",,,"97","19","2011","34","2011-W34","2011-08-22","2011-08-28","celkem",
"1326394831","18","5393","7700","400000610015000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","0-14",
"1326178307","60","5393","7700","410015610045000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","15-44",
"1326978277","328","5393","7700","410045610065000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","45-64",
"1326647607","398","5393","7700","410065610075000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","65-74",
"1326228013","565","5393","7700","410075610085000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","75-84",
"1326741699","450","5393","7700","410085799999000","97","19","2011","35","2011-W35","2011-08-29","2011-09-04","85 a více",
"1326409496","1819","5393",,,"97","19","2011","35","2011-W35","2011-08-29","2011-09-04","celkem",
"1326970401","11","5393","7700","400000610015000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","0-14",
"1326854825","72","5393","7700","410015610045000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","15-44",
"1326227827","335","5393","7700","410045610065000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","45-64",
"1326734428","404","5393","7700","410065610075000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","65-74",
"1326485327","619","5393","7700","410075610085000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","75-84",
"1326984746","464","5393","7700","410085799999000","97","19","2011","36","2011-W36","2011-09-05","2011-09-11","85 a více",
"1326308069","1905","5393",,,"97","19","2011","36","2011-W36","2011-09-05","2011-09-11","celkem",
"1326727612","10","5393","7700","400000610015000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","0-14",
"1326734335","75","5393","7700","410015610045000","97","19","2011","37","2011-W37","2011-09-12","2011-09-18","15-44",
